date,xchange,ychange
2015-08-20,-3.91970367309,-1.31663331253
2015-08-19,-1.95136451952,0.654896155525
2015-08-18,2.09100003738,-0.87173572908
2015-08-17,-0.223036861974,0.61967220986
2015-08-14,-1.65426747989,0.322130191568
2015-08-13,1.10480863377,-0.435600345283
2015-08-12,1.34893531915,-0.530858857114
2015-08-11,0.0927687141329,-1.25821620577
2015-08-10,1.25551336357,-0.899168102182
2015-08-07,-0.439283599316,-0.7700345429
2015-08-06,-1.36650961596,-0.359691007752
2015-08-05,2.48502098909,1.48976270187
2015-08-04,2.41144139028,0.132079981931
2015-08-03,-2.36584880659,0.938688512898
2015-07-31,-0.541857984861,-0.91387436319
2015-07-30,1.56077771091,0.411115396825
2015-07-29,-0.170273590922,0.497774341561
2015-07-28,3.54643479961,-0.763240818269
2015-07-27,-3.58952796985,1.0080531401
2015-07-24,-0.736779476087,-3.62287511592
2015-07-23,-0.908578547938,-2.5692970324
2015-07-22,2.52612480494,0.183080538749
2015-07-21,-1.21458957443,1.0820905911
2015-07-20,2.64000363636,0.573392096557
2015-07-17,0.792662018349,3.68721001541
2015-07-16,0.93103928192,2.60652270851
2015-07-15,-1.34961953024,0.0160616284071
2015-07-14,1.35444025896,2.62271668332
2015-07-13,-0.0343168732126,2.5653022954
2015-07-10,-1.17077529872,0.729640912904
2015-07-09,-0.447728137334,-0.466432562953
2015-07-08,-1.68132033098,-0.809897533286
2015-07-07,-2.58908909091,0.361289733324
2015-07-06,0.301203379568,0.646772858518
2015-07-02,-0.0642480343648,0.445230468318
2015-07-01,-0.722950502911,-0.550750502192
2015-06-30,1.30665489305,-1.04749054988
2015-06-29,0.0267138754703,-0.664747325484
2015-06-26,-0.669425750153,-1.03674345686
2015-06-25,0.878212383042,-0.675490384281
2015-06-24,-0.677952627697,-0.399995
2015-06-23,2.82345029285,0.155652838309
2015-06-22,-0.900242248337,-0.259460873987
2015-06-19,0.041926830227,-0.0968001300616
2015-06-18,-0.0419790076336,1.07909227872
2015-06-17,3.26763931687,-0.0207765836823
2015-06-16,1.19537438141,-0.047312639789
2015-06-15,0.272329999267,-0.151512878788
2015-06-12,0.191836851673,0.137329012972
2015-06-11,-0.730471071833,-0.708548653021
2015-06-10,-0.476378336079,1.38469419822
2015-06-09,0.234927961666,-0.164909394817
2015-06-08,2.16862781339,-1.21504960048
2015-06-05,1.27642235772,-0.563057543607
2015-06-04,-0.638384646465,-0.197113578602
2015-06-03,0.318294927296,0.0740910559176
2015-06-02,-0.228986021445,1.17276191659
2015-06-01,-0.779605810754,-0.521617041069
2015-05-29,-0.0796800796813,-0.978843264221
2015-05-28,1.78925556325,0.328993692887
2015-05-27,-0.434590970878,1.31193508961
2015-05-26,-0.0888186394611,-1.07782428713
2015-05-22,0.957694576622,-0.00741257025291
2015-05-21,1.06571041051,0.847662031468
2015-05-20,-1.12491358546,0.144855060351
2015-05-19,-0.519258558285,0.632983468781
2015-05-18,0.708502024291,0.0545061172815
2015-05-15,2.01287383303,-0.988541316295
2015-05-14,-0.294094019857,0.867415521014
2015-05-13,-1.7891070563,-0.17717185682
2015-05-12,1.92828452822,-0.48156473205
2015-05-11,1.35427317906,-0.49593829983
2015-05-08,0.262721296184,0.292545780264
2015-05-07,7.14932262443,1.28056301228
2015-05-06,-1.5677116215,-1.32144024022
2015-05-05,-2.02304765358,-1.37679227385
2015-05-04,1.02112458212,0.417803999561
2015-05-01,-1.70044488388,-0.0984285806679
2015-04-30,-1.88376058806,-1.9219829697
2015-04-29,1.04324884534,-0.252503146988
2015-04-28,-1.81895804047,-0.173089206339
2015-04-27,4.03936245542,-1.42352895622
2015-04-24,-0.938778684807,-0.183705417232
2015-04-23,0.151189808014,1.10905914869
2015-04-22,3.26588329412,0.929081111619
2015-04-21,1.75413068386,-0.658597388858
2015-04-20,-0.73024229002,1.86073292153
2015-04-17,0.878085738863,-0.872010792355
2015-04-16,-0.481463656449,0.735980228994
2015-04-15,0.178345217158,0.724419438333
2015-04-14,-0.532195408135,-1.09276972964
2015-04-13,-0.313630010325,0.141159271438
2015-04-10,0.500351665465,-0.420425208569
2015-04-09,0.796431922348,-0.0462105338348
2015-04-08,-0.25456244363,0.599943211002
2015-04-07,0.365416531663,-0.196991189677
2015-04-06,2.57576060606,0.85397706175
2015-04-02,0.40477528055,-0.9836230244
2015-04-01,-0.588235833411,-1.10097978948
2015-03-31,-2.45956442133,-0.363633282658
2015-03-30,2.53968299576,0.0743260105906
2015-03-27,-2.1526455013,-0.842671945273
2015-03-26,-1.81002167708,-0.434013689745
2015-03-25,-2.00232053256,-2.05347218494
2015-03-24,0.0694508376877,1.35630360074
2015-03-23,0.569272040302,-0.289070288376
2015-03-20,0.319070655646,-0.229685941046
2015-03-19,-3.14356732673,-0.250274882558
2015-03-18,2.94932283214,1.26696861162
2015-03-17,-0.358182993948,-0.157690998113
2015-03-16,1.92708177083,0.646152782597
2015-03-13,-0.142897064984,-1.11653219035
2015-03-12,-1.38322219355,0.361327332811
2015-03-11,1.35496263735,-0.713333561131
2015-03-10,0.986946795561,-1.63756480678
2015-03-09,-1.80564536142,0.351057947221
2015-03-06,-2.67556940551,-1.25156426943
2015-03-05,-1.09440519317,0.053909705701
2015-03-04,1.60100476788,0.262300573618
2015-03-03,1.39728673743,0.559209138971
2015-03-02,-2.64923289565,1.92853061369
2015-02-27,-1.72063707261,0.750590244362
2015-02-26,1.56372647059,2.25879200904
2015-02-25,-0.575781686584,1.4872182428
2015-02-24,-1.53407887857,1.14905230272
